序号,名称,最新价,涨跌额,涨跌幅,开盘价,最高价,最低价,昨收价,总市值,市盈率,成交量,成交额,振幅,换手率,代码
1,Advantage Solutions Inc Wt,0.01,0.009,472.22,0.001,0.025,0.001,0.002,,,10218186.0,150338.0,1327.78,,105.ADVWW
2,Wellgistics Health Inc,1.15,0.747,185.43,0.887,1.46,0.873,0.403,105118006.0,-2.32,724659888.0,811598064.0,145.74,792.78,105.WGRX
3,Inhibrx Biosciences Inc,57.29,28.93,102.01,49.13,60.2,46.01,28.36,829869769.0,-5.07,6079575.0,317433184.0,50.04,41.97,105.INBX
4,Genenta Science SpA ADR,6.2,2.97,91.95,9.97,10.0,5.68,3.23,112344707.0,-11.85,21920565.0,209996599.0,133.75,120.97,105.GNTA
5,迈克丽斯,5.29,2.3,76.92,2.7,7.58,2.55,2.99,87946250.0,48.5,4853006.0,24441252.0,168.23,29.19,105.MAMK
6,Neuphoria Therapeutics Inc,6.24,2.19,54.07,6.3,8.44,5.66,4.05,14711505.0,-39.8,83669632.0,543660192.0,68.64,3548.91,105.NEUP
7,Datavault AI Inc,3.42,1.17,52.0,2.35,3.49,2.31,2.25,973729811.0,-16.75,197869897.0,603585392.0,52.44,69.5,105.DVLT
8,Alliance Entertainment Holding ,0.546,0.181,49.53,0.4,0.546,0.4,0.365,,,2812.0,1322.0,39.95,,105.AENTW
9,Iveda Solutions Inc Wt,0.149,0.049,48.85,0.146,0.159,0.125,0.1,,,11415.0,1675.0,34.87,,105.IVDAW
10,New Era Energy & Digital Inc,5.86,1.91,48.35,4.16,6.2,4.13,3.95,310311442.0,-15.62,51810821.0,280164160.0,52.41,97.84,105.NUAI
11,Eos Energy Enterprises Inc Wt,4.75,1.54,47.98,3.47,5.18,3.47,3.21,,,693706.0,3198111.0,53.27,,105.EOSEW
12,Origin Materials Inc Wt,0.03,0.01,47.76,0.024,0.03,0.02,0.02,,,501222.0,14352.0,50.75,,105.ORGNW
13,Banzai International Inc Wt,0.028,0.009,47.15,0.02,0.028,0.019,0.019,,,86923.0,2347.0,47.15,,105.BNZIW
14,GCT Semiconductor Holding Inc W,0.149,0.047,45.41,0.142,0.16,0.113,0.102,,,35993.0,4395.0,45.8,,106.GCTS_WS
15,Celularity Inc Wt,0.03,0.009,45.37,0.03,0.03,0.03,0.021,,,200.0,6.0,0.0,,105.CELUW
16,大树云(权证),0.03,0.009,41.04,0.028,0.038,0.021,0.021,,,50229.0,1534.0,81.6,,105.DSYWW
17,新蛋,66.72,19.35,40.85,47.77,70.33,47.665,47.37,1398883546.0,-32.29,3406527.0,211824291.0,47.85,16.25,105.NEGG
18,Tianci International Inc,0.992,0.281,39.54,0.712,1.0,0.7,0.711,16401202.0,-6.21,4690511.0,4268037.0,42.18,28.37,105.CIIT
19,MidWestOne Financial Group Inc,39.54,11.17,39.37,37.7,39.645,36.35,28.37,815819330.0,-15.04,1637179.0,61727800.0,11.61,7.93,105.MOFG
20,ENIGMATIG LTD-A,4.99,1.4,39.0,3.81,5.9,3.6,3.59,139745948.0,63.58,522183.0,2465436.0,64.07,1.86,107.EGG
21,NextTrip Inc,4.53,1.2,36.04,3.4,4.7,3.4,3.33,37900114.0,-2.71,610391.0,2609085.0,39.04,7.3,105.NTRP
22,The Oncology Institute Inc Wt,0.23,0.059,34.66,0.231,0.26,0.188,0.171,,,92592.0,22098.0,42.51,,105.TOIIW
23,Wintergreen Acquisition Corp Rt,0.2,0.05,33.33,0.188,0.204,0.18,0.15,,,1150.0,222.0,16.0,,105.WTGUR
24,Dragonfly Energy Holdings Corp ,0.214,0.053,33.17,0.161,0.248,0.161,0.16,,,346506.0,73331.0,53.8,,105.DFLIW
25,Luminar Technologies Inc-A,2.22,0.53,31.36,1.725,2.28,1.72,1.69,152657097.0,-1.27,26891821.0,56796697.0,33.14,39.11,105.LAZR
26,Bleichroeder Acquisition Corp I,13.97,3.22,29.95,13.5,13.97,13.5,10.75,471603912.0,,774.0,10515.0,4.37,,105.BACQU
27,Beneficient Wt,0.018,0.004,29.93,0.012,0.018,0.012,0.014,,,561221.0,8889.0,40.88,,105.BENFW
28,CEA Industries Inc Wt,0.13,0.03,29.74,0.13,0.13,0.13,0.1,,,54386.0,7068.0,0.3,,105.BNCWW
29,Liminatus Pharma Inc Wt,0.134,0.03,29.43,0.115,0.134,0.115,0.103,,,488.0,61.0,18.1,,105.LIMNW
30,Defiance Daily Target 2X Long Q,20.679,4.669,29.16,17.5,21.03,16.656,16.01,,,710757.0,13687094.0,27.32,,107.QSU
31,Tradr 2X Long QS Daily ETF,37.251,8.264,28.51,31.5,37.93,31.49,28.987,,,6767.0,240046.0,22.22,,107.QSX
32,旗际汽车,0.115,0.025,27.98,0.086,0.122,0.086,0.09,20146573.0,-0.31,89087386.0,10192231.0,39.8,50.76,105.CJET
33,EON Resources Inc Wt,0.077,0.017,27.71,0.059,0.077,0.059,0.06,,,3853.0,254.0,29.22,,107.EONR_WS
